Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,7,10,13,15,17,19,22,26,34
0044_0052,6,8,11,13,15,18,21,25,33
0044_0111,7,10,12,14,16,18,20,23,31
0044_0150,0,0,0,1,1,2,2,3,5
0044_0171,1,2,3,3,4,5,6,7,11
0044_0172,2,3,4,5,6,7,8,10,15
0044_0224,2,4,5,5,6,7,9,10,14
