Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,31,49,67,82,96,111,128,152,193
0044_0052,20,29,37,45,53,63,75,92,120
0044_0111,18,25,31,36,41,46,52,61,77
0044_0150,7,10,12,15,17,19,22,26,35
0044_0171,23,30,35,39,44,49,55,65,85
0044_0172,26,35,41,47,53,59,67,79,103
0044_0224,23,33,40,47,53,59,66,76,92
