Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,8,11,14,17,20,24,29,35,50
0044_0052,4,7,9,11,14,16,20,25,34
0044_0111,8,12,14,17,19,23,26,32,43
0044_0150,5,7,8,10,11,13,15,18,24
0044_0171,18,24,28,31,35,39,44,50,63
0044_0172,22,29,34,39,43,48,54,62,78
0044_0224,4,6,7,9,10,12,14,17,24
