Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,6,9,11,12,14,16,19,22,27
0044_0052,0,1,1,2,2,3,4,5,7
0044_0111,0,0,0,1,1,2,2,3,5
0044_0150,0,1,1,2,2,3,4,5,7
0044_0171,3,5,6,7,9,10,12,14,18
0044_0172,10,14,16,19,21,24,27,32,40
0044_0224,0,0,0,1,1,2,2,3,4
