Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,1,2,3,4,5,6,7,8,11
0044_0052,0,1,1,2,3,3,4,5,8
0044_0111,1,2,3,4,5,5,6,8,10
0044_0150,0,0,1,1,1,2,2,3,4
0044_0171,5,7,9,10,11,13,15,17,21
0044_0172,5,7,9,10,12,14,16,18,23
0044_0224,0,1,1,2,2,2,3,4,5
