Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,8,12,14,17,20,23,26,31,42
0044_0052,2,3,5,6,7,9,11,14,21
0044_0111,1,1,2,3,4,5,6,8,15
0044_0150,2,3,4,6,7,8,9,12,17
0044_0171,11,15,17,20,23,26,29,34,46
0044_0172,8,11,14,16,18,21,24,29,41
0044_0224,1,2,3,3,4,5,6,8,14
