Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,2,3,5,6,7,9,10,13,16
0044_0052,0,0,0,0,0,0,0,0,1
0044_0111,1,2,3,4,5,6,7,9,11
0044_0150,3,4,6,7,8,10,11,13,17
0044_0171,2,3,4,5,6,7,8,10,12
0044_0172,2,3,4,5,6,7,8,10,13
0044_0224,1,2,3,3,4,5,6,7,9
