Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,11,16,20,24,27,31,36,43,60
0044_0052,9,14,17,21,25,29,35,42,54
0044_0111,12,17,20,23,26,30,34,39,50
0044_0150,8,11,14,16,18,20,23,27,35
0044_0171,18,25,29,32,36,40,45,52,66
0044_0172,21,29,34,39,43,48,54,62,79
0044_0224,21,30,36,41,45,50,55,62,75
