Samples,10perc quantile,20perc quantile,30perc quantile,40perc quantile,50perc quantile,60perc quantile,70perc quantile,80perc quantile,90perc quantile
0044_0014,9,13,16,19,22,25,29,35,45
0044_0052,3,5,7,9,10,13,16,20,27
0044_0111,7,10,12,14,16,19,22,27,37
0044_0150,2,3,4,5,6,7,9,12,18
0044_0171,5,7,8,10,12,14,19,31,47
0044_0172,4,5,7,8,10,13,19,35,54
0044_0224,4,6,7,8,10,11,13,16,21
